Offensive Team,Defensive Team,Formation,Down,Distance,Yardline,Advantage Zone,Attack Zone,Advantage,Play type,Play type result,R/P,Run Concept,Pass Concept,is_complete,Yards Gained,QB Scramble,SACK,INT,notes,TD,League
EDM,MTL,23,1,10,39,BOUNDARY,FIELD,FALSE,PASS,PASS,PASS,#N/A,DEEP SMASH,FALSE,0,0,0,0,D PENALTY,0,CFL
EDM,MTL,41,1,10,29,FIELD,BOX,FALSE,RPO FE,RUN,RUN,IZ,SMASH 2,#N/A,1,#N/A,#N/A,#N/A,,0,CFL
EDM,MTL,32,2,9,28,BOX,BOUNDARY,FALSE,PASS,PASS,PASS,#N/A,77,TRUE,9,0,0,0,BACKERS STARING,0,CFL
EDM,MTL,32,1,10,18,BOX,BOX,TRUE,RUN,RUN,RUN,DRAW,#N/A,#N/A,-3,#N/A,#N/A,#N/A,TACKLE DOESNT SECURE B,0,CFL
EDM,MTL,32,2,9,17,FIELD,FIELD,FALSE,PASS,PASS,PASS,#N/A,OUT GO,TRUE,12,0,0,0,,0,CFL
EDM,MTL,22DBL T,1,5,5,MOF,BOX,FALSE,RUN,RUN,RUN,IZ SLICE,#N/A,#N/A,5,#N/A,#N/A,#N/A,TWO D GAP DEFENDERS TD,1,CFL
EDM,MTL,31,1,10,-20,BOX,FIELD,FALSE,GIMMICK,GIMMICK,PASS,#N/A,DBL PASS DBL MOVE,FALSE,0,#N/A,0,0,,0,CFL
EDM,MTL,32,2,10,-20,#N/A,FIELD,FALSE,PASS,PASS,PASS,#N/A,CURL FLAT,FALSE,0,0,0,0,,0,CFL
EDM,MTL,32T,1,10,-40,#N/A,BOX,FALSE,RUN,RUN,RUN,IZ,#N/A,FALSE,5,#N/A,#N/A,#N/A,,0,CFL
EDM,MTL,32,2,5,-45,BOX,BOX,TRUE,PASS,RUN,RUN,SCRAMBLE,SMASH,#N/A,6,#N/A,#N/A,#N/A,,0,CFL
